_,regdate,first_name,last_name,email_address,homephone,street,city,state,zipcode
1,11/12/08 10:47,Allison,Nguyen,arannon@jumpstartlab.com,6154385000,3155 19th St NW,Washington,DC,20010
2,11/12/08 13:23,SArah,Hankins,pinalevitsky@jumpstartlab.com,9419792000,2022 15th Street NW,Washington,DC,20009
4,11/12/08 14:04,Jennifer,Cope,bjgielskil@jumpstartlab.com,4252745000,1133 Shelton Ave,Nashville,TN,37216
6,11/12/08 15:00,Aya,Fuller,jtex@jumpstartlab.com,2023281000,2-1325 Barclay Street,Vancouver,BC,90210
8,11/12/08 17:18,Audrey,Hasegan,ffbbieucf@jumpstartlab.com,8084974000,1570 Old Ranch Rd.,Placerville,CA,95667
10,11/13/08 16:40,Eli,Zielke,jbrabeth.buckley@jumpstartlab.com,14018685000,3024 Cranbrook Ct,La Jolla,CA,92037
12,11/13/08 21:19,Megan,Doe,wkganize@jumpstartlab.com,5102824000,64 King Ave,Columbus,OH,43201
14,11/16/08 13:54,Laura,Rapetsky,ikr08@jumpstartlab.com,982E+00,Urb Monte Carlo c/15#1287,San Juan,PR,0924
16,11/17/08 19:41,Shannon,Warner,gkjordandc@jumpstartlab.com,5303557000,186 Crooked S Road,Lyndeborough,NH,03082
18,11/20/08 16:25,Nash,Okaty,qdansonlm@jumpstartlab.com,6072802000,914 E Jefferson ST,Seattle,WA,98122
20,11/25/08 19:21,David,Thomas,gdlia.lepping@jumpstartlab.com,5126732000,9 garrison ave,Jersey City,NJ,07306
22,11/30/08 17:49,Peter,Hunt,fegitraore@jumpstartlab.com,5404219000,PO Box 683,Monument Beach,MA,02553
24,12/2/08 18:21,Paige,Tompkins,cimoore@jumpstartlab.com,3609046000,2124 Waverly Pl N #B,Seattle,WA,98109
26,12/2/08 23:19,Michael,Panek,dntisler@jumpstartlab.com,6166177000,1434 Wilson Ave.,Salt Lake City,UT,84105
28,12/3/08 17:53,Kaitlyn,Applegate,xytheclouds27@jumpstartlab.com,8182689000,2 Hamilton Road,Whitehouse Station,NJ,08889
30,12/3/08 21:43,Sarah,Cordova,tmai.202@jumpstartlab.com,7034004000,5430 Hesperus Drive,Columbia,MD,21044
32,12/4/08 9:21,Greg,Dzara,jmpender@jumpstartlab.com,2147942000,122 Park Avenue,Takoma Park,MD,20912
34,12/4/08 14:58,Kelly,Zemel,rqstin.dunnigan@jumpstartlab.com,8608739000,3109 E 22nd St.,Minneapolis,MN,55406
36,12/4/08 21:35,Emma,O'donnell,mvead@jumpstartlab.com,8458532000,3110 Columbia Avenue,Camp Hill,PA,17011
38,12/7/08 13:02,Jonathan,Fahey,otohns@jumpstartlab.com,9194264000,4 B Shearwater St,Wrightsville Beach,NC,28480
